Air Quality Station EoI Code,Year,NO2,O3,PM10,PM2_5,Altitude,Latitude,Longitude,Station_Type,Station_Area,City,Green_Ratio,Population_Density
IT0777A,2019,32.802,,25.7,15.2,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
IT0777A,2020,26.386,,25.2,15.0,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
IT0777A,2021,29.075,,25.9,13.9,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
IT0777A,2022,29.026,,26.8,13.3,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
IT0777A,2023,26.919,,19.8,10.3,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
IT0777A,2024,24.281,,21.5,13.0,292.0,45.698,9.4062,Traffic,Urban,Merate,0.6506756582781469,1331.0
IT0778A,2015,34.382,,32.814,21.631,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2016,31.275,,23.708,18.769,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2017,30.963,,30.75,16.886,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2018,32.058,,27.27,14.494,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2019,29.797,,24.995,14.222,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2020,28.564,,25.266,13.63,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2021,28.708,,24.973,13.17,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2022,30.473,,28.643,15.521,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2023,22.672,,22.7,17.341,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0778A,2024,23.524,,21.4,13.7,125.0,45.5183,9.5914,Traffic,Urban,Treviglio,0.7553214753460342,965.0
IT0804A,2015,22.0,49.957,29.0,17.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2016,22.478,48.435,24.0,15.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2017,22.652,49.348,29.0,16.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2018,20.0,46.478,28.0,15.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2019,15.875,46.042,28.0,13.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2020,14.875,46.75,24.0,13.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2021,17.75,48.333,25.0,11.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2022,18.333,48.083,26.0,11.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2023,14.417,52.042,25.0,12.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0804A,2024,12.542,44.833,23.0,12.0,60.0,44.7936,10.3317,Background,Urban,Parma,0.8193049521173735,759.0
IT0825A,2015,62.0,,29.0,18.0,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2016,59.435,,27.0,15.0,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2017,61.261,,25.0,14.0,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2018,50.13,,25.0,14.0,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2019,48.957,,23.0,13.0,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2020,37.0,,22.0,11.0,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2021,43.137,,21.5,10.1,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2022,36.422,,22.0,12.2,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2023,35.466,,21.7,11.4,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0825A,2024,34.032,,26.3,11.7,35.0,41.9474,12.4696,Traffic,Urban,Roma,0.6714880449041739,2141.0
IT0840A,2015,21.258,,39.0,27.6,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0840A,2016,21.684,,35.8,24.1,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0840A,2017,25.767,,33.7,23.8,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0840A,2019,23.122,,32.4,22.0,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0840A,2020,23.644,,32.5,21.3,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0840A,2021,23.402,,30.1,18.8,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0840A,2022,23.045,,33.4,21.2,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0840A,2023,21.493,,30.4,20.0,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0840A,2024,22.252,,29.4,20.3,70.0,45.2847,9.8642,Traffic,Suburban,Soresina,0.9038218967128544,324.0
IT0854A,2020,21.263,,12.274,8.591,105.0,44.4182,8.9274,Background,Urban,Genova,0.741634773108005,2339.0
IT0854A,2021,22.153,,13.517,7.852,105.0,44.4182,8.9274,Background,Urban,Genova,0.741634773108005,2339.0
IT0854A,2022,19.11,,14.017,7.796,105.0,44.4182,8.9274,Background,Urban,Genova,0.741634773108005,2339.0
IT0854A,2023,15.334,,12.95,6.763,105.0,44.4182,8.9274,Background,Urban,Genova,0.741634773108005,2339.0
IT0854A,2024,15.335,,13.979,7.217,105.0,44.4182,8.9274,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2015,21.901,74.029,13.6,10.4,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2016,12.172,78.447,12.1,8.3,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2018,21.869,55.138,12.73,4.5,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2019,14.179,72.194,15.06,6.18,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2020,11.005,68.546,11.55,7.33,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2021,9.942,66.954,15.85,9.642,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2022,12.797,67.204,15.514,9.804,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2023,11.46,86.961,12.863,7.817,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0858A,2024,9.426,71.426,8.558,5.054,85.0,44.3949,8.9915,Background,Urban,Genova,0.741634773108005,2339.0
IT0861A,2015,63.13,,29.0,17.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2016,66.087,,26.0,15.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2017,62.87,,25.0,14.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2018,60.261,,28.0,15.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2019,54.652,,25.0,14.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2020,43.522,,19.0,11.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2021,45.565,,20.0,12.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2022,44.304,,26.0,13.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2023,40.348,,27.0,12.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0861A,2024,37.053,,26.0,12.0,49.0,43.7731,11.2722,Traffic,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2015,21.217,,20.0,13.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2016,20.217,,17.0,11.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2017,20.261,,18.0,11.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2018,17.043,,18.0,11.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2019,17.783,,16.0,10.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2020,13.087,,16.0,10.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2021,15.391,,16.0,9.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2022,15.13,,20.0,11.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2023,13.304,,18.0,10.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
IT0862A,2024,13.609,,20.0,9.0,61.0,43.7867,11.2875,Background,Urban,Firenze,0.4659849691312099,3549.0
