"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2021","Total","Male","Ferrara","City proper","Estimate - de jure","Final figure, complete","2022","62071","1"
"Italy","2021","Total","Male","Firenze","City proper","Estimate - de jure","Final figure, complete","2022","171689","1"
"Italy","2021","Total","Male","Foggia","City proper","Estimate - de jure","Final figure, complete","2022","72073","1"
"Italy","2021","Total","Male","Forli","City proper","Estimate - de jure","Final figure, complete","2022","56774","1"
"Italy","2021","Total","Male","Genova","City proper","Estimate - de jure","Final figure, complete","2022","267998","1"
"Italy","2021","Total","Male","Giugliano in Campania","City proper","Estimate - de jure","Final figure, complete","2022","60981","1"
"Italy","2021","Total","Male","Latina","City proper","Estimate - de jure","Final figure, complete","2022","62386","1"
"Italy","2021","Total","Male","Livorno","City proper","Estimate - de jure","Final figure, complete","2022","74517","1"
"Italy","2021","Total","Male","Messina","City proper","Estimate - de jure","Final figure, complete","2022","106179","1"
"Italy","2021","Total","Male","Milano","City proper","Estimate - de jure","Final figure, complete","2022","657292","1"
"Italy","2021","Total","Male","Modena","City proper","Estimate - de jure","Final figure, complete","2022","89696","1"
"Italy","2021","Total","Male","Monza","City proper","Estimate - de jure","Final figure, complete","2022","58759","1"
"Italy","2021","Total","Male","Napoli","City proper","Estimate - de jure","Final figure, complete","2022","441408","1"
"Italy","2021","Total","Male","Novara","City proper","Estimate - de jure","Final figure, complete","2022","49305","1"
"Italy","2021","Total","Male","Padova","City proper","Estimate - de jure","Final figure, complete","2022","99042","1"
"Italy","2021","Total","Male","Palermo","City proper","Estimate - de jure","Final figure, complete","2022","303850","1"
"Italy","2021","Total","Male","Parma","City proper","Estimate - de jure","Final figure, complete","2022","94634","1"
"Italy","2021","Total","Male","Perugia","City proper","Estimate - de jure","Final figure, complete","2022","78404","1"
"Italy","2021","Total","Male","Pescara","City proper","Estimate - de jure","Final figure, complete","2022","56067","1"
"Italy","2021","Total","Male","Piacenza","City proper","Estimate - de jure","Final figure, complete","2022","49455","1"
"Italy","2021","Total","Male","Prato","City proper","Estimate - de jure","Final figure, complete","2022","97107","1"
"Italy","2021","Total","Male","Ravenna","City proper","Estimate - de jure","Final figure, complete","2022","75839","1"
"Italy","2021","Total","Male","Reggio di Calabria","City proper","Estimate - de jure","Final figure, complete","2022","82573","1"
"Italy","2021","Total","Male","Reggio nell'Emilia","City proper","Estimate - de jure","Final figure, complete","2022","83670","1"
"Italy","2021","Total","Male","Rimini","City proper","Estimate - de jure","Final figure, complete","2022","72025","1"
"Italy","2021","Total","Male","ROMA","City proper","Estimate - de jure","Final figure, complete","2022","1308324","1"
"Italy","2021","Total","Male","Salerno","City proper","Estimate - de jure","Final figure, complete","2022","60356","1"
"Italy","2021","Total","Male","Sassari","City proper","Estimate - de jure","Final figure, complete","2022","58724","1"
"Italy","2021","Total","Male","Siracusa","City proper","Estimate - de jure","Final figure, complete","2022","57273","1"
"Italy","2021","Total","Male","Taranto","City proper","Estimate - de jure","Final figure, complete","2022","90986","1"
"Italy","2021","Total","Male","Terni","City proper","Estimate - de jure","Final figure, complete","2022","51086","1"
"Italy","2021","Total","Male","Torino","City proper","Estimate - de jure","Final figure, complete","2022","408584","1"
"Italy","2021","Total","Male","Trento","City proper","Estimate - de jure","Final figure, complete","2022","57211","1"
