eoi_code,city,lat,lon,openaq_found,openaq_id,openaq_name
IT2205A,Viggiano,40.3156,15.9548,1,8492.0,VIGGIANO - COSTA MOLINA SUD 1
IT2209A,Faenza,44.2856,11.8734,1,7617.0,PARCO BERTOZZI
IT2210A,Solofra,40.8355,14.8246,1,2162889.0,Solofra Zona Industriale
IT2211A,Acerra,40.9797,14.401,1,2162891.0,Acerra Zona Industriale
IT2212A,Napoli (greater city),40.9243,14.4813,1,2162897.0,San Vitaliano Scuola Elementare Marconi
IT2213A,Cava de' Tirreni,40.711,14.7024,1,2162888.0,Cava de' Tirreni Stadio
IT2214A,Napoli (greater city),40.7404,14.6435,1,2335282.0,Nocera Inferiore scuola Solimene
IT2216A,Napoli (greater city),40.9146,14.2987,1,2162894.0,Casoria Scuola Palizzi (CAM)
IT2218A,San Felice a Cancello,40.9905,14.424,1,2162892.0,San Felice a Cancello Complesso scolastico
IT2219A,Acerra,40.9411,14.3698,1,2162893.0,Acerra scuola Caporale
IT2221A,Napoli (greater city),40.8449,14.2057,1,2162904.0,Tirrenopower Via Epomeo
IT2223A,Napoli (greater city),40.8864,14.35,1,2162895.0,Tirrenopower Volla
IT2226A,Napoli (greater city),40.9209,14.3895,1,2162896.0,Pomigliano d'Arco Area ASI
IT2227A,Avellino,40.9188,14.7855,3,8594.0,AV41 SCUOLA V CIRCOLO
IT2228A,Benevento,41.1157,14.78,1,2162882.0,Benevento Campo Sportivo
IT2233A,Aosta,45.7344,7.3043,1,2162907.0,Aosta Liconi
IT2241A,Massa,44.0311,10.1328,1,8488.0,MS-MARINA-VECCHIA
IT2243A,Verona,45.433,11.0301,0,,
IT2247A,Fiumicino,41.7682,12.237,1,7544.0,Fiumicino Villa Guglielmi
IT2249A,Civitavecchia,42.16,11.7427,1,7519.0,S. Agostino
IT2250A,Civitavecchia,42.1022,11.7844,3,7512.0,Fiumaretta
IT2251A,Civitavecchia,42.0988,11.8177,1,7518.0,Faro
IT2252A,Civitavecchia,42.0818,11.8094,2,7517.0,Campo dell'Oro
IT2254A,Allumiere,42.161,11.9,4,7514.0,Allumiere - v.Aldo Moro
IT2263A,Trieste,45.6206,13.7838,0,,
IT2268A,Battipaglia,40.6111,14.9758,1,2162886.0,Battipaglia parco fiume
IT2269A,Salerno,40.6614,14.8045,0,,
IT2270A,Napoli (greater city),40.8159,14.3493,1,2162899.0,Portici parco reggia
IT2272A,Pozzuoli,40.8229,14.1225,0,,
IT2273A,Polla,40.487,15.5283,1,2162884.0,Polla Area tritovagliatore
IT2274A,Porto Empedocle,37.2919,13.5325,1,2162984.0,Porto Empedocle
IT2275A,Messina,38.1743,15.5465,1,2162956.0,ME - Villa Dante
IT2277A,Napoli (greater city),40.7989,14.1794,0,,
IT2280A,Trieste,45.6405,13.7661,1,2163003.0,Trieste - P.le Rosmini
IT2281A,Agrigento,37.307,13.594,2,2162985.0,AG - Centro
IT2282A,Novara,45.4397,8.6204,2,8376.0,Novara - Roma
IT2283A,Ottati,40.4706,15.2987,1,2162885.0,Ottati Alburni
IT2284A,Aosta,45.7324,7.3219,4,275223.0,balcone 4° piano durante la nevicata
IT2286A,Vado Ligure,44.2618,8.4457,1,2162921.0,VIA DE LITTA - VADO LIGURE
IT2287A,Palermo,38.1307,13.3465,1,2162942.0,PA - Castelnuovo
IT2289A,Ancona,43.6059,13.4923,0,,
IT2290A,Guardia Perticara,40.364,16.0975,0,,
IT2291A,Tricarico,40.6205,16.1474,0,,
IT2293A,Monfalcone,45.803,13.5445,1,2163020.0,Monfalcone - Area verde
IT2294A,Cavallermaggiore,44.7043,7.6853,0,,
IT2297A,Palermo,38.1051,13.3465,2,2162943.0,PA - Indipendenza
IT2298A,Masone,44.5084,8.7046,0,,
IT2299A,Cairo Montenotte,44.3995,8.281,0,,
IT2300A,Brescia,45.5386,10.2319,2,8277.0,BRESCIA – VIA TARTAGLIA
IT2301A,Brescia,45.5087,10.2564,1,2162843.0,BRESCIA SAN POLO
IT2302A,Chiavari,44.3191,9.3295,1,221606.0,IT1943A
IT2303A,Bergeggi,44.2531,8.4426,1,2162921.0,VIA DE LITTA - VADO LIGURE
IT2304A,Savona,44.3776,8.41,0,,
IT2307A,Agrigento,37.2992,13.5516,1,2162983.0,AG - Monserrato
IT2308A,Bagheria,38.0861,13.5041,1,2162947.0,Bagheria
IT2312A,Gela,37.0651,14.2613,2,2162976.0,Gela - Tribunale
IT2313A,Lampedusa e Linosa,35.5028,12.5979,1,2162990.0,Lampedusa
IT2317A,Siracusa,37.0858,15.268,1,2162963.0,SR - ASP Pizzuta
IT2318A,Trapani,37.8825,12.718,1,2162982.0,TP - Diga Rubino
IT2319A,Venezia,45.4356,12.3231,0,,
