eoi_code,city,lat,lon,openaq_found,openaq_id,openaq_name
IT1863A,Vastogirardi,41.7594,14.2089,0,,
IT1865A,Schivenoglia,44.9969,11.0708,1,8285.0,SCHIVENOGLIA
IT1868A,Mantova,45.1606,10.7956,1,8284.0,MANTOVA SANT'AGNESE
IT1871A,Este,45.2267,11.6658,1,7681.0,ESTE
IT1874A,Parona,45.2811,8.7547,1,8075.0,PARONA
IT1876A,Calusco d'Adda,45.6833,9.4667,1,8278.0,CALUSCO
IT1877A,Torino,45.0419,7.6259,1,8541.0,Torino - Rubino
IT1878A,Vercelli,45.3189,8.4024,1,8540.0,Vercelli - CONI
IT1883A,Savona,44.3154,8.4854,3,221502.0,IT1883A
IT1890A,Enna,37.5641,14.2815,1,2162980.0,Enna
IT1894A,Ripatransone,42.9922,13.7847,0,,
IT1899A,Misterbianco,37.5157,15.0108,1,2162958.0,Misterbianco
IT1900A,Foligno,42.9517,12.7078,1,8207.0,PORTA ROMANA
IT1901A,Gubbio,43.3528,12.5764,1,8192.0,NET.IT252A
IT1902A,Torgiano,43.0669,12.4681,1,8193.0,BRUFA
IT1904A,Dernice,44.7633,9.0524,1,8536.0,Dernice - Costa
IT1905A,Vicenza,45.5319,11.5219,1,2163028.0,VI - Ferrovieri
IT1906A,Roma,41.894,12.4754,2,7529.0,Arenula
IT1908A,Savignano sul Rubicone,44.0958,12.4025,2,7614.0,SAVIGNANO
IT1911A,Langhirano,44.6575,10.2889,2,7616.0,BADIA
IT1914A,Guastalla,44.8731,10.6639,2,7620.0,S. ROCCO
IT1915A,San Clemente,43.9328,12.6275,2,7586.0,SAN CLEMENTE
IT1918A,Ferrara,44.825,11.6497,2,7625.0,VILLA FULVIA
IT1919A,Ostellato,44.7417,11.9422,2,7605.0,OSTELLATO
IT1921A,Mirandola,44.9278,11.1779,2,7606.0,GAVELLO
IT1924A,Besenzone,44.9894,10.0192,1,7599.0,BESENZONE
IT1927A,Alfonsine,44.5265,11.9814,2,7613.0,BALLIRANA
IT1932A,Lecce,40.3644,18.1731,1,8620.0,GARIGLIANO
IT1936A,Venezia,45.4383,12.2056,1,7963.0,VE - Malcontenta
IT1938A,Cosenza,39.3134,16.2452,1,8533.0,Città dei ragazzi
IT1940A,Locri,38.2298,16.2552,1,8246.0,Locri
IT1943A,Chiavari,44.3149,9.3236,1,221606.0,IT1943A
IT1947A,Sarroch,39.0667,9.0089,1,8096.0,CENSA3
IT1948A,Vinchio,44.808,8.3103,1,8531.0,Vinchio - San Michele
IT1953A,Galatina,40.1681,18.1736,1,8530.0,La Porta
IT1962A,Venafro,41.4789,14.0333,1,565178.0,VENAFRO2
IT1965A,Lodi,45.3028,9.4953,2,8242.0,LODI S.ALBERTO
IT1967A,Sondrio,46.1686,9.8803,2,8229.0,SONDRIO - VIA MAZZINI
IT1975A,Piacenza,45.0383,9.6692,2,7498.0,PARCO MONTECUCCO
IT1977A,Montesilvano,42.5175,14.1483,1,7792.0,MONTESILVANO
IT1993A,Monserrato,39.2606,9.1364,1,8101.0,CENMO1
IT1996A,Macomer,40.2564,8.7731,1,8098.0,CENMA1
IT1997A,Milazzo,38.1906,15.2491,1,2162953.0,Milazzo - Termica
IT2003A,Barletta,41.3167,16.2861,1,8527.0,stadio casardi
IT2004A,Perugia,43.1044,12.3747,2,8191.0,CORTONESE
IT2007A,Erba,45.8094,9.2228,1,2162855.0,ERBA- Via Battisti
IT2009A,Sassari,40.7244,8.5761,1,8121.0,CENS16
IT2010A,Porto Torres,40.8314,8.4053,1,8104.0,CENPT1
IT2011A,Seulo,39.8425,9.2164,1,8122.0,CENSE0
IT2012A,Roma,41.8748,12.3456,3,7538.0,Malagrotta
IT2013A,Frosinone,41.6396,13.349,1,7539.0,FROSINONE MAZZINI
IT2019A,Foggia,41.4539,15.5478,1,8621.0,Rosati
IT2023A,Acquapendente,42.7366,11.8764,2,7542.0,Acquapendente
IT2026A,Polistena,38.3999,16.0702,1,8234.0,Polistena
IT2028A,Reggio di Calabria,38.105,15.6388,2,8264.0,Piazza Castello
IT2031A,Crotone,39.0681,17.1142,1,8043.0,Gioacchino da Fiore (via)
IT2032A,Poggibonsi,43.4728,11.1419,1,8525.0,SI-POGGIBONSI
IT2033A,Ragusa,36.9171,14.734,1,2162987.0,RG - Campo Atletica
IT2038A,Albenga,44.0526,8.2054,2,221493.0,IT2038A
IT2039A,Rapallo,44.3517,9.2226,1,221610.0,CAMPO SPORTIVO MACERA - RAPALLO
IT2044A,Lecce,40.3519,18.1767,1,8623.0,LIBERTINI
IT2052A,Catania,37.5293,15.0811,1,2162960.0,CT - Parco Gioeni
IT2056A,Cagliari,39.2358,9.115,1,8099.0,CENCA1
IT2062A,Dalmine,45.6439,9.6147,1,8358.0,DALMiNE - Via Verdi
IT2063A,Spinadesco,45.1483,9.9403,1,8355.0,SPINADESCO
