openaq_id,date,Year,Month,PM2_5,PM2_5_lag1,PM2_5_lag2,PM2_5_lag3,PM2_5_roll3_mean,PM2_5_roll3_std,PM10_lag1,NO2_lag1,O3_lag1,Temp_Mean_lag1,Wind_Speed_lag1,Precipitation_lag1,month_num,month_sin,month_cos,Green_Ratio,Latitude,Longitude
IT0703A,2024-11-01,2024,11,19.4,20.4,10.6,9.15,13.383333333333333,6.119708598727092,24.1,26.1,10.7,4.34516129032258,3.696774193548387,254.0,11,-0.5000000000000004,0.8660254037844384,0.9485747519359676,46.0518,11.4539
IT0703A,2024-12-01,2024,12,22.6,19.4,20.4,10.6,16.8,5.392587505085193,27.0,30.4,14.2,-1.11,2.716666666666667,10.6,12,-2.4492935982947064e-16,1.0,0.9485747519359676,46.0518,11.4539
IT0703A,2025-01-01,2025,1,20.7,22.6,19.4,20.4,20.8,1.6370705543747766,30.6,29.7,10.2,-6.525806451612904,2.06774193548387,62.5,1,0.49999999999999994,0.8660254037844387,0.9485747519359676,46.0518,11.4539
IT0703A,2025-02-01,2025,2,10.0,20.7,22.6,19.4,20.900000000000002,1.6093476939433993,34.5,26.5,17.8,-7.170967741935484,2.335483870967742,101.2,2,0.8660254037844386,0.5000000000000001,0.9485747519359676,46.0518,11.4539
IT0703A,2025-03-01,2025,3,8.62,10.0,20.7,22.6,17.766666666666666,6.79288843816342,16.3,17.6,45.1,-5.9750000000000005,1.7607142857142857,59.4,3,1.0,6.123233995736766e-17,0.9485747519359676,46.0518,11.4539
IT0703A,2025-04-01,2025,4,6.85,8.62,10.0,20.7,13.106666666666667,6.612120184429064,16.4,13.1,58.1,-2.2161290322580647,3.074193548387097,116.5,4,0.8660254037844387,-0.49999999999999983,0.9485747519359676,46.0518,11.4539
IT0703A,2025-05-01,2025,5,14.9,6.85,8.62,10.0,8.49,1.5790186826003354,11.5,9.79,59.1,2.253333333333333,3.6333333333333337,144.1,5,0.49999999999999994,-0.8660254037844387,0.9485747519359676,46.0518,11.4539
IT0703A,2025-06-01,2025,6,6.7,14.9,6.85,8.62,10.123333333333333,4.23032307670871,21.6,9.69,79.1,4.787096774193548,3.5580645161290323,247.1,6,1.2246467991473532e-16,-1.0,0.9485747519359676,46.0518,11.4539
IT0703A,2025-07-01,2025,7,8.9,6.7,14.9,6.85,9.483333333333334,4.691570454904651,10.8,9.63,62.1,12.243333333333334,3.4099999999999997,89.2,7,-0.4999999999999998,-0.8660254037844388,0.9485747519359676,46.0518,11.4539
IT0703A,2025-08-01,2025,8,5.65,8.9,6.7,14.9,10.166666666666666,4.2442117446393075,13.5,8.3,50.3,10.583870967741936,3.612903225806451,174.9,8,-0.8660254037844384,-0.5000000000000004,0.9485747519359676,46.0518,11.4539
IT0703A,2025-09-01,2025,9,9.37,5.65,8.9,6.7,7.083333333333333,1.6585636355998563,10.9,10.8,28.4,11.151612903225804,2.9516129032258065,160.7,9,-1.0,-1.8369701987210297e-16,0.9485747519359676,46.0518,11.4539
IT0703A,2025-10-01,2025,10,14.0,9.37,5.65,8.9,7.973333333333334,2.0257426621696593,16.4,17.2,25.0,7.613333333333333,2.943333333333334,107.5,10,-0.8660254037844386,0.5000000000000001,0.9485747519359676,46.0518,11.4539
IT0703A,2025-11-01,2025,11,20.3,14.0,9.37,5.65,9.673333333333332,4.183256307391914,22.0,23.4,15.3,2.2129032258064516,2.793548387096774,63.9,11,-0.5000000000000004,0.8660254037844384,0.9485747519359676,46.0518,11.4539
IT0707A,2024-03-01,2024,3,11.9,13.0,34.0,50.5,32.5,18.79494612921253,18.9,23.5,51.0,7.848275862068966,6.927586206896552,194.1,3,1.0,6.123233995736766e-17,0.5042676573215039,45.6903,9.6439
IT0707A,2024-04-01,2024,4,6.26,11.9,13.0,34.0,19.633333333333333,12.454048873090796,16.5,18.7,68.5,10.338709677419354,8.638709677419355,195.1,4,0.8660254037844387,-0.49999999999999983,0.5042676573215039,45.6903,9.6439
IT0707A,2024-05-01,2024,5,10.5,6.26,11.9,13.0,10.386666666666667,3.615872416628373,10.0,13.6,73.2,12.93,7.686666666666667,89.2,5,0.49999999999999994,-0.8660254037844387,0.5042676573215039,45.6903,9.6439
IT0707A,2024-06-01,2024,6,10.9,10.5,6.26,11.9,9.553333333333333,2.9367555794335174,17.6,12.0,84.1,16.516129032258064,6.758064516129032,315.8,6,1.2246467991473532e-16,-1.0,0.5042676573215039,45.6903,9.6439
IT0707A,2024-07-01,2024,7,13.0,10.9,10.5,6.26,9.219999999999999,2.5712253887982195,16.0,11.7,107.0,20.77,7.0233333333333325,174.5,7,-0.4999999999999998,-0.8660254037844388,0.5042676573215039,45.6903,9.6439
IT0707A,2024-08-01,2024,8,6.37,13.0,10.9,10.5,11.466666666666667,1.342882471899138,18.4,13.8,111.0,24.758064516129032,6.145161290322581,123.3,8,-0.8660254037844384,-0.5000000000000004,0.5042676573215039,45.6903,9.6439
