eoi_code,Year,Month,Temp_Mean,Wind_Speed,Precipitation
IT1743A,2023,2,6.064285714285715,8.185714285714285,9.200000000000001
IT1743A,2023,3,10.35483870967742,8.17741935483871,31.1
IT1743A,2023,4,12.346666666666666,8.06,99.60000000000001
IT1743A,2023,5,16.958064516129035,6.651612903225806,221.8
IT1743A,2023,6,22.373333333333335,6.863333333333333,88.5
IT1743A,2023,7,24.383870967741935,6.77741935483871,144.2
IT1743A,2023,8,24.83225806451613,7.538709677419354,206.7
IT1743A,2023,9,20.763333333333332,6.136666666666667,112.3
IT1743A,2023,10,16.6,6.9,205.5
IT1743A,2023,11,8.093333333333334,8.476666666666667,129.3
IT1743A,2023,12,5.103225806451612,6.858064516129032,48.4
IT1743A,2024,1,2.954838709677419,5.912903225806452,46.7
IT1743A,2024,2,7.848275862068966,6.927586206896552,194.1
IT1743A,2024,3,10.338709677419354,8.638709677419355,195.1
IT1743A,2024,4,12.93,7.6866666666666665,89.2
IT1743A,2024,5,16.516129032258064,6.758064516129032,315.8
IT1743A,2024,6,20.77,7.0233333333333325,174.5
IT1743A,2024,7,24.758064516129032,6.145161290322581,123.3
IT1743A,2024,8,26.096774193548388,5.606451612903226,64.3
IT1743A,2024,9,18.726666666666667,7.6466666666666665,194.9
IT1743A,2024,10,15.048387096774194,6.983870967741935,256.3
IT1743A,2024,11,7.1066666666666665,5.1066666666666665,10.8
IT1743A,2024,12,3.3451612903225807,4.732258064516128,32.699999999999996
IT1743A,2025,1,3.9451612903225803,4.65483870967742,120.3
IT1743A,2025,2,5.596428571428571,4.360714285714286,63.8
IT1743A,2025,3,9.525806451612903,5.512903225806451,131.6
IT1743A,2025,4,13.92,6.956666666666666,96.9
IT1743A,2025,5,17.27741935483871,6.909677419354838,224.7
IT1743A,2025,6,24.526666666666664,6.056666666666667,44.6
IT1743A,2025,7,23.561290322580643,5.570967741935483,201.5
IT1743A,2025,8,23.425806451612903,5.516129032258065,167.1
IT1743A,2025,9,18.69333333333333,5.163333333333333,248.1
IT1743A,2025,10,13.529032258064515,4.745161290322581,54.8
IT1743A,2025,11,7.466666666666667,4.573333333333333,142.0
IT1743A,2025,12,5.82258064516129,4.109677419354839,59.3
IT1737A,2020,1,3.661290322580645,6.358064516129032,26.200000000000003
IT1737A,2020,2,7.675862068965517,8.16551724137931,9.7
IT1737A,2020,3,9.03225806451613,7.619354838709677,73.5
IT1737A,2020,4,14.413333333333332,6.926666666666667,39.5
